iter	Passed	Remaining
0	0	97
1	1	88
2	2	84
3	3	76
4	4	77
5	4	77
6	5	76
7	6	76
8	7	75
9	8	73
10	8	72
11	9	71
12	10	71
13	11	71
14	12	70
15	13	69
16	14	68
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	21	59
27	22	58
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
